Alabama,9.9,Dec. 1982,15.5,Feb. 2020,2.7
Alaska,12.6,Apr. 2020,13.5,Mar. 2020,5.2
Arizona,8.9,Apr. 2020,13.4,Jul-07,3.6
Arkansas,9.5,Apr. 2020,10.8,Feb. 2020,3.5
California,16.3,Apr. 2020,16.4,Feb. 2020,3.9
Colorado,10.2,Apr. 2020,12.2,Feb. 2020,2.5
Connecticut,9.4,Mar. 1976,9.8,Oct. 2000,2.2
Delaware,15.8,May-20,15.8,Jun-88,3
District of Columbia,8.9,Apr. 2020,11.7,Sept. 1989,4.8
Florida,14.5,May-20,14.5,Feb. 2020,2.8
Georgia,9.7,Apr. 2020,12.6,Feb. 2020,3.1
Hawaii,22.6,Apr. 2020,23.8,Nov. 2017,2.2
Idaho,8.9,Apr. 2020,11.8,Mar. 2020,2.5
Illinois,15.2,Apr. 2020,17.2,Feb. 2020,3.4
Indiana,12.3,Apr. 2020,17.5,Oct. 2000,2.9
Iowa,10,Apr. 2020,11,Mar. 2000,2.4
Kansas,10,Apr. 2020,11.9,Mar. 2020,2.8
Kentucky,11,Apr. 2020,16.6,Aug. 2000,4.1
Louisiana,13.3,Apr. 2020,15.1,Oct. 2007,4.1
Maine,9.3,Apr. 2020,10.4,Sept. 2019,2.9
Maryland,9.9,Apr. 2020,10.1,Mar. 2020,3.3
Massachusetts,16.3,May-20,16.3,Oct. 2000,2.6
Michigan,21.2,Apr. 2020,24,Mar. 2000,3.2
Minnesota,9.9,May-20,9.9,Feb. 1999,2.5
Mississippi,10.6,Apr. 2020,16.3,Aug. 2018,4.7
Missouri,10.1,Mar. 1983,10.6,Oct. 2018,3
Montana,9,Apr. 2020,11.9,Feb. 2007,2.9
Nebraska,5.2,Apr. 2020,8.7,Oct. 1990,2.3
Nevada,25.3,Apr. 2020,30.1,Feb. 2020,3.6
New Hampshire,14.5,Apr. 2020,17.1,Mar. 1988,2.2
New Jersey,15.2,Apr. 2020,16.3,Jul-19,3.3
New Mexico,9.2,Apr. 2020,11.9,Sept. 2007,3.7
New York,14.5,Apr. 2020,15.3,Feb. 2020,3.7
North Carolina,12.9,May-20,12.9,Apr. 1999,3
North Dakota,9.1,May-20,9.1,Mar. 2020,2
Ohio,13.7,Apr. 2020,17.6,Feb. 2001,3.7
Oklahoma,12.6,Apr. 2020,14.7,Mar. 2020,2.9
Oregon,14.2,Apr. 2020,14.9,Feb. 2020,3.3
Pennsylvania,13.1,Apr. 2020,16.1,May-00,4
Rhode Island,16.3,Apr. 2020,18.1,Jul-88,3
South Carolina,12.5,Apr. 2020,12.8,Jan. 2020,2.4
South Dakota,9.4,Apr. 2020,10.9,Jul-00,2.4
Tennessee,11.3,Apr. 2020,15.5,Mar. 2020,3.3
Texas,13,Apr. 2020,13.5,Jun-19,3.4
Utah,8.5,Apr. 2020,10.4,Dec. 2019,2.4
Vermont,12.7,Apr. 2020,16.5,May-19,2.3
Virginia,9.4,Apr. 2020,11.2,Nov. 2000,2.1
Washington,15.1,Apr. 2020,16.3,Feb. 2020,3.8
West Virginia,12.9,Feb. 1983,18.8,Jul-08,4
Wisconsin,12,Apr. 2020,13.6,Dec. 2018,3
Wyoming,8.8,Apr. 2020,9.6,May-79,2.5
